,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1954,"BASS, WHITE","77,500",35,"7,326","66,000",Public,Commercial
1954,BLUEFISH,"401,600",182,"80,312","723,532",Public,Commercial
1954,"BONITO, ATLANTIC","31,400",14,"3,768","33,946",Public,Commercial
1954,BOWFIN,"6,200",3,561,"5,054",Public,Commercial
1954,BURBOT,"9,500",4,474,"4,270",Public,Commercial
1954,"CARP, COMMON","34,400",16,"2,079","18,730",Public,Commercial
1954,"CATFISHES, FORKTAIL **","73,400",33,"20,085","180,946",Public,Commercial
1954,"CATFISHES-BULLHEADS, OTHER **","25,800",12,"2,885","25,991",Public,Commercial
1954,CHUBS **,"1,100",0,244,"2,198",Public,Commercial
1954,"CLAM, SOFT","38,300",17,"22,049","198,640",Public,Commercial
1954,"CLAM, SURF, ATLANTIC","3,359,700","1,524","419,980","3,783,604",Public,Commercial
1954,"CLAMS, QUAHOG, MERCENARIA **","2,452,500","1,112","1,268,616","11,428,973",Public,Commercial
1954,"COD, ATLANTIC","1,291,800",586,"116,274","1,047,514",Public,Commercial
1954,"CONCHS, TRUE **","26,800",12,"6,027","54,297",Public,Commercial
1954,"CRAB, BLUE","44,600",20,"4,987","44,928",Public,Commercial
1954,CRAPPIES **,"1,000",0,108,973,Public,Commercial
1954,"DRUM, FRESHWATER",300,0,16,144,Public,Commercial
1954,"EEL, AMERICAN","188,200",85,"38,530","347,117",Public,Commercial
1954,"EEL, CONGER","14,900",7,894,"8,054",Public,Commercial
1954,"FLOUNDER, AMERICAN PLAICE",700,0,52,468,Public,Commercial
1954,"FLOUNDER, SUMMER","3,683,300","1,671","626,150","5,640,991",Public,Commercial
1954,"FLOUNDER, WINTER","530,000",240,"53,090","478,288",Public,Commercial
1954,"FLOUNDER, WITCH","2,300",1,459,"4,135",Public,Commercial
1954,"FLOUNDER, YELLOWTAIL","54,300",25,"8,149","73,414",Public,Commercial
1954,GOOSEFISH,"26,200",12,"1,310","11,802",Public,Commercial
1954,HADDOCK,"37,500",17,"2,630","23,694",Public,Commercial
1954,"HAKE, RED","374,500",170,"11,236","101,225",Public,Commercial
1954,"HAKE, SILVER","2,171,600",985,"130,296","1,173,838",Public,Commercial
1954,"HAKE, WHITE","6,100",3,368,"3,315",Public,Commercial
1954,HARVESTFISHES **,"1,530,800",694,"183,683","1,654,802",Public,Commercial
1954,"HERRING, ATLANTIC","318,700",145,"3,190","28,739",Public,Commercial
1954,"HERRING, LAKE OR CISCO","13,200",6,"4,831","43,523",Public,Commercial
1954,KINGFISHES **,"3,600",2,468,"4,216",Public,Commercial
1954,"LOBSTER, AMERICAN","383,000",174,"145,756","1,313,117",Public,Commercial
1954,"MACKEREL, ATLANTIC","113,600",52,"24,992","225,153",Public,Commercial
1954,MENHADENS **,"98,475,600","44,668","1,513,766","13,637,532",Public,Commercial
1954,"MUSSEL, SEA","291,300",132,"61,960","558,198",Public,Commercial
1954,"OYSTER, EASTERN","1,707,000",774,"1,138,029","10,252,514",Public,Commercial
1954,"PERCH, WHITE","22,400",10,"2,582","23,261",Public,Commercial
1954,"PERCH, YELLOW","415,800",189,"33,642","303,081",Public,Commercial
1954,POLLOCK,"2,700",1,216,"1,946",Public,Commercial
1954,PORGIES **,"12,818,000","5,814","769,084","6,928,685",Public,Commercial
1954,"PUFFER, NORTHERN","343,800",156,"20,628","185,838",Public,Commercial
1954,"SCALLOP, BAY","127,200",58,"109,769","988,910",Public,Commercial
1954,"SCALLOP, SEA","1,896,600",860,"885,272","7,975,423",Public,Commercial
1954,SEAROBINS **,"22,300",10,448,"4,036",Public,Commercial
1954,"SHAD, AMERICAN","706,700",321,"87,700","790,090",Public,Commercial
1954,"SHAD, GIZZARD",600,0,6,54,Public,Commercial
1954,"SHARKS, CHONDRICHTHYES (CLASS) **","6,200",3,372,"3,351",Public,Commercial
1954,"SHARKS, DOGFISH **","60,300",27,"3,016","27,171",Public,Commercial
